id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre
71550,"Morro do Pavão Pavãozinho - Copacabana, Rio de Janeiro - RJ, 22071-060, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COPACABANA,,MORRO DO PAVAO-PAVAOZINHO,-22.98048085	,-43.19547802,"19/05/2025, 18:24:00",false,false,,Não identificado,,,false
71553,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-031, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.91217027475371,-43.25345398681187,"19/05/2025, 19:28:00",false,false,,Não identificado,,,false
71570,"Complexo do Chapadão - Costa Barros, Rio de Janeiro - RJ, 21650-020, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,COSTA BARROS,,COMPLEXO DO CHAPADAO,-22.82326393	,-43.37707903,"20/05/2025, 05:00:00",false,false,,Não identificado,,,false
71558,"R. Itajace, Favela Avenida - Anchieta, Rio de Janeiro - RJ, 21645-310, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANCHIETA,,FAVELA AVENIDA,-22.818709991640212,-43.40319967790985,"20/05/2025, 05:52:00",false,false,,Não identificado,,,false
71564,"Cidade de Deus, Cidade de Deus, Rio de Janeiro - RJ, 22772-400, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE DE DEUS,,CIDADE DE DEUS,-22.9481697083,-43.3626708984,"20/05/2025, 10:20:00",true,true,NI,Ação policial,,,false
71595,"Cidade de Deus, Cidade de Deus, Rio de Janeiro - RJ, 22773-050, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE DE DEUS,,CIDADE DE DEUS,-22.94822555958576,-43.36750665822755,"21/05/2025, 09:00:00",false,false,,Não identificado,,,false
71586,"Estrada do Galeão - Ilha do Governador, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GALEAO,,,-22.8136048,-43.1902644,"21/05/2025, 13:00:00",true,true,PM,Ação policial,,Perseguição,false
71586,"Estrada do Galeão - Ilha do Governador, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GALEAO,,,-22.8136048,-43.1902644,"21/05/2025, 13:00:00",true,true,PM,Ação policial,,Perseguição,false
71586,"Estrada do Galeão - Ilha do Governador, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,GALEAO,,,-22.8136048,-43.1902644,"21/05/2025, 13:00:00",true,true,PM,Ação policial,,Perseguição,false
71614,"Morro do Campinho - Cascadura, Rio de Janeiro - RJ, 21310-320, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.886834818911804,-43.33879731006783,"21/05/2025, 16:30:00",false,false,,Disputa,,,true
71614,"Morro do Campinho - Cascadura, Rio de Janeiro - RJ, 21310-320, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.886834818911804,-43.33879731006783,"21/05/2025, 16:30:00",false,false,,Disputa,,,true
71614,"Morro do Campinho - Cascadura, Rio de Janeiro - RJ, 21310-320, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.886834818911804,-43.33879731006783,"21/05/2025, 16:30:00",false,false,,Disputa,,,true
71614,"Morro do Campinho - Cascadura, Rio de Janeiro - RJ, 21310-320, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.886834818911804,-43.33879731006783,"21/05/2025, 16:30:00",false,false,,Disputa,,,true
71614,"Morro do Campinho - Cascadura, Rio de Janeiro - RJ, 21310-320, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO CAMPINHO (COMPLEXO DO FUBA),-22.886834818911804,-43.33879731006783,"21/05/2025, 16:30:00",false,false,,Disputa,,,true
71591,"Praça Lopes Ribeiro - Bonsucesso, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BONSUCESSO,,,-22.8624619,-43.2564131,"21/05/2025, 18:00:00",false,false,,Não identificado,,,false
