,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
286,852,2026-04,13.14,7.42,4.15,13.25,3.42,3.42,2026-04-01,2026-04-30,0.20407331975560083,-1.115542379844666,baixo
287,853,2026-04,24.53,10.88,12.06,24.5,10.25,12.17,2026-04-01,2026-04-30,0.3966395112016293,-0.39212309305239457,medio
288,854,2026-04,25.23,6.91,3.62,28.58,7.33,3.25,2026-04-01,2026-04-30,0.20885947046843178,-1.0975621014315318,baixo
289,855,2026-04,24.53,10.88,11.9,24.5,10.25,11.33,2026-04-01,2026-04-30,0.39541751527494906,-0.39671380243447146,medio
290,856,2026-04,13.14,7.42,4.15,13.25,3.42,3.42,2026-04-01,2026-04-30,0.20407331975560083,-1.115542379844666,baixo
291,857,2026-04,13.14,7.42,4.4,13.25,3.42,3.42,2026-04-01,2026-04-30,0.2129327902240326,-1.0822597368246092,baixo
292,859,2026-04,9.7,0.0,2.57,13.17,1.0,1.67,2026-04-01,2026-04-30,0.04261710794297352,-1.7220898569515655,baixo
293,861,2026-04,98.59,9.42,14.99,96.92,19.92,10.67,2026-04-01,2026-04-30,0.49857433808553964,-0.009181418764153777,medio
294,862,2026-04,86.53,6.13,5.63,83.75,18.92,5.42,2026-04-01,2026-04-30,0.2781059063136456,-0.8374219031138457,baixo
295,863,2026-04,86.53,6.13,5.88,83.75,18.92,6.58,2026-04-01,2026-04-30,0.2845213849287169,-0.8133206788579423,baixo
296,864,2026-04,21.38,9.32,10.79,23.0,9.67,10.25,2026-04-01,2026-04-30,0.36558044806517315,-0.5088036231801801,baixo
297,865,2026-04,34.99,2.45,6.26,36.0,8.17,3.75,2026-04-01,2026-04-30,0.18034623217922607,-1.204678653679991,baixo
298,866,2026-04,13.14,7.42,4.4,13.25,3.42,3.42,2026-04-01,2026-04-30,0.2129327902240326,-1.0822597368246092,baixo
299,867,2026-04,25.23,6.91,3.62,28.58,7.33,3.25,2026-04-01,2026-04-30,0.20885947046843178,-1.0975621014315318,baixo
300,868,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
